elavskode,matrnr,esr_ejdnr
20151,11bø,1510034160
20151,11cz,1510034152
20151,11cx,1510034101
20151,11cæ,1510034144
20151,11cp,1510017479
20151,11cy,1510034136
20151,7000bd,0
20151,7000bb,0
20151,182k,1510135021
20151,182g,1510149184
20151,182h,1510149183
20151,182b,1510087361
20151,182a,1510135021
20151,182c,1510026001
20151,1eo,1510025706
20151,1hv,1510025994
20151,1cm,1510025986
20151,1bn,1510025706
20151,1cl,1510025943
20151,1bm,1510025560
20151,1ck,1510025919
20151,1cd,1510025757
20151,1ci,1510025889
20151,1ce,1510025773
20151,1bc,1510118895
20151,1z,1510025404
20151,1ch,1510025862
20151,1cf,1510025811
20151,1al,1510025382
20151,1cg,1510025846
20151,1ak,1510025366
20151,100c,1510025331
20151,100d,1510140394
20151,100a,1510025315
20151,1hx,1510020038
20151,1hy,1510020046
20151,1af,1510025412
20151,1y,1510025358
20151,107e,1510019994
20151,1æ,1510020054
20151,11eo,1510020011
20151,3ed,1510017339
20151,3el,1510017266
20151,3dz,1510017401
20151,3ct,1510022499
20151,1ey,1510022480
20151,3cu,1510022502
20151,1ex,1510022472
20151,3cg,1510022529
20151,1dæ,1510022456
20151,3bp,1510022545
20151,1dz,1510022448
20151,1mh,1510022413
20151,3bo,1510022561
20151,1dv,1510022332
20151,3bn,1510022596
20151,1du,1510022359
20151,3bm,1510022588
20151,1db,1510022383
20151,6mf,1510022189
20151,6k,1510022170
20151,1nk,1510012108
20151,1ax,1510015115
20151,1lx,1510022421
20151,1ni,1510012108
20151,7000au,0
20151,1bh,1510025730
20151,1mf,1510012108
20151,1u,1510025722
20151,1v,1510025714
20151,1np,1510022405
20151,3fs,1510086241
20151,1bd,1510118909
20151,1ao,1510022553
20151,1ab,1510022464
20151,1av,1510025749
20151,3fr,1510087647
20151,1ay,1510015123
20151,3bs,1510022618
20151,1az,1510022510
20151,1ap,1510022537
20151,3bq,1510015131
20151,3dh,1510005675
20151,1ad,1510025765
20151,3fq,1510086233
20151,3br,1510022626
20151,3ga,1510129749
20151,3ch,1510021964
20151,3ev,1510000541
